Code d�partement,Code de la commune,Cl� unique,Commune,Couleur politique
6,155,6_155,Vallauris,LMAJ
50,615,50_615,Valognes,LMC
84,138,84_138,Valr�as,LDVD
54,547,54_547,Vandoeuvre-l�s-Nancy,LUG
56,260,56_260,Vannes,LMAJ
92,75,92_75,Vanves,LMAJ
38,524,38_524,Varces-Alli�res-et-Risset,LDVD
93,74,93_74,Vaujours,LDVD
30,341,30_341,Vauvert,LMAJ
84,141,84_141,Ved�ne,LDVD
78,640,78_640,V�lizy-Villacoublay,LMAJ
6,157,6_157,Vence,LDVD
34,327,34_327,Vendargues,LMAJ
41,269,41_269,Vend�me,LDVG
13,113,13_113,Venelles,LMAJ
13,114,13_114,Ventabren,LMAJ
55,545,55_545,Verdun,LMAJ
27,679,27_679,Verneuil-sur-Avre,LMAJ
78,642,78_642,Verneuil-sur-Seine,LMAJ
27,681,27_681,Vernon,LUG
78,646,78_646,Versailles,LDVD
77,495,77_495,Vert-Saint-Denis,LDVG
35,353,35_353,Vezin-le-Coquet,LSOC
34,332,34_332,Vias,LUG
63,457,63_457,Vic-le-Comte,LUG
