"Tables Départements et académies",Tables Effectifs scolarisés (1),Tables Évolution 2020/2021 (%),Tables Effectifs d’habitants,Tables Taux de scolari- sation (%),title,doc_id,type,uploaded_from,doc_meta_data,folder_name,folder_id,created_at_iso,modified_at_iso,status,review_url,user_doc_id
Île-de-France,3 232 663,"1,3",12 397 314,"26,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Calvados,163 699,"0,2",701 012,"23,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Manche,89 242,"- 0,7",494 202,"18,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Orne,50 871,"- 1,0",275 022,"18,5",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Eure,121 033,"- 0,2",598 283,"20,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Seine-Maritime,314 417,"0,6",1 256 298,"25,0",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Normandie,739 262,"0,1",3 324 817,"22,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Normandie,739 262,"0,1",3 324 817,"22,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Dordogne,65 439,"0,4",412 574,"15,9",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Gironde,409 176,"1,3",1 679 859,"24,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Landes,71 743,"- 0,1",426 137,"16,8",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Lot-et-Garonne,60 668,"0,6",329 694,"18,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Pyrénées-Atlantiques,140 116,"0,0",695 315,"20,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Bordeaux,747 142,"0,8",3 543 579,"21,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Corrèze,40 788,"- 0,2",237 797,"17,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
